entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,max_price,partial_exit
2025-09-29,10:24:37,2025-09-29,10:33:17,24800.0,PE,49.65,4177.3,4122.65,8303.42,8,contract_change,49.65,False
2025-09-29,10:33:19,2025-09-29,10:33:22,24750.0,CE,111.7,4177.3,4060.60,3635.27,0,contract_change,111.70,False
2025-09-29,10:33:34,2025-09-29,10:33:37,24750.0,CE,111.65,4177.3,4060.65,3636.95,0,contract_change,111.65,False
2025-09-29,10:33:45,2025-09-29,10:33:47,24750.0,CE,112.25,4177.3,4060.05,3616.97,0,contract_change,112.25,False
2025-09-29,10:33:56,2025-09-29,10:33:57,24750.0,PE,38.35,5200.0,5156.65,13446.28,0,contract_change,38.35,False
2025-09-29,10:33:59,2025-09-29,10:34:02,24750.0,PE,38.3,4177.3,4134.00,10793.73,0,contract_change,38.30,False
2025-09-29,10:34:05,2025-09-29,10:34:07,24800.0,CE,80.25,4177.3,4092.05,5099.13,0,contract_change,80.25,False
2025-09-29,10:34:11,2025-09-29,10:34:27,24750.0,PE,38.25,5200.0,5156.75,13481.70,0,contract_change,38.25,False
2025-09-29,10:34:31,2025-09-29,10:34:32,24750.0,CE,113.1,5200.0,5081.90,4493.28,0,contract_change,113.10,False
2025-09-29,10:34:46,2025-09-29,10:34:54,24750.0,PE,38.75,4177.3,4133.55,10667.23,0,contract_change,38.75,False
2025-09-29,10:34:59,2025-09-29,10:35:00,24750.0,CE,112.8,5200.0,5082.20,4505.50,0,contract_change,112.80,False
2025-09-29,10:35:12,2025-09-29,10:35:18,24750.0,CE,112.95,4177.3,4059.35,3593.94,0,contract_change,112.95,False
2025-09-29,10:35:25,2025-09-29,10:35:28,24750.0,CE,112.4,4177.3,4059.90,3612.01,0,contract_change,112.40,False
2025-09-29,10:35:30,2025-09-29,10:35:33,24750.0,PE,37.85,4177.3,4134.45,10923.25,0,contract_change,37.85,False
2025-09-29,10:35:36,2025-09-29,10:35:38,24750.0,CE,113.8,5200.0,5081.20,4465.03,0,contract_change,113.80,False
2025-09-29,10:35:50,2025-09-29,10:35:53,24750.0,PE,38.3,4177.3,4134.00,10793.73,0,contract_change,38.30,False
2025-09-29,10:35:57,2025-09-29,10:35:58,24750.0,PE,37.75,4177.3,4134.55,10952.45,0,contract_change,37.75,False
2025-09-29,10:36:01,2025-09-29,10:36:03,24750.0,CE,113.5,5200.0,5081.50,4477.09,0,contract_change,113.50,False
2025-09-29,10:36:13,2025-09-29,10:36:15,24750.0,PE,38.8,5200.0,5156.20,13289.18,0,contract_change,38.80,False
2025-09-29,10:36:19,2025-09-29,10:36:26,24750.0,CE,113.35,5200.0,5081.65,4483.15,0,contract_change,113.35,False
2025-09-29,10:36:29,2025-09-29,10:36:36,24750.0,CE,113.5,5200.0,5081.50,4477.09,0,contract_change,113.50,False
2025-09-29,10:36:53,2025-09-29,10:36:56,24750.0,PE,38.9,1978.3,1934.40,4972.75,0,contract_change,38.90,False
2025-09-29,10:36:58,2025-09-29,10:37:01,24750.0,PE,39.2,3172.35,3128.15,7979.97,0,contract_change,39.20,False
2025-09-29,10:37:03,2025-09-29,10:37:11,24750.0,PE,39.85,3172.35,3127.50,7848.18,0,contract_change,39.85,False
2025-09-29,10:37:15,2025-09-29,10:37:18,24750.0,CE,105.95,4177.3,4066.35,3837.99,0,contract_change,105.95,False
2025-09-29,10:37:21,2025-09-29,10:37:28,24750.0,CE,104.9,5200.0,5090.10,4852.34,0,contract_change,104.90,False
2025-09-29,10:37:42,2025-09-29,10:37:43,24750.0,CE,105.0,5200.0,5090.00,4847.62,0,contract_change,105.00,False
2025-09-29,10:37:56,2025-09-29,10:37:58,24750.0,CE,104.25,4177.3,4068.05,3902.21,0,contract_change,104.25,False
2025-09-29,10:38:12,2025-09-29,10:38:13,24750.0,PE,43.3,5200.0,5151.70,11897.69,0,contract_change,43.30,False
2025-09-29,10:38:40,2025-09-29,10:38:43,24750.0,CE,101.7,4177.3,4070.60,4002.56,0,contract_change,101.70,False
