entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,sq0_at_entry,sq0_peak
2025-11-19,13:47:52,2025-11-19,13:47:53,26000.0,CE,162.05,161.5,-0.55,-0.34,0,stop_loss,2700,4800
2025-11-19,13:50:13,2025-11-19,13:50:14,26000.0,CE,168.6,168.3,-0.30,-0.18,0,stop_loss,2100,3150
2025-11-19,13:50:18,2025-11-19,13:50:20,26000.0,CE,169.0,168.75,-0.25,-0.15,0,stop_loss,7725,22500
2025-11-19,13:53:37,2025-11-19,13:53:38,26000.0,CE,168.8,168.2,-0.60,-0.36,0,stop_loss,3600,28275
2025-11-19,13:53:56,2025-11-19,13:53:57,26000.0,CE,169.4,169.25,-0.15,-0.09,0,stop_loss,2025,3600
2025-11-19,13:55:02,2025-11-19,13:55:03,26000.0,CE,168.85,168.8,-0.05,-0.03,0,stop_loss,1800,2625
2025-11-19,13:55:52,2025-11-19,13:55:53,26000.0,CE,168.25,167.95,-0.30,-0.18,0,stop_loss,2025,13725
2025-11-19,13:56:29,2025-11-19,13:56:34,26000.0,CE,168.8,168.4,-0.40,-0.24,0,stop_loss,1575,2475
2025-11-19,13:57:03,2025-11-19,13:57:04,26000.0,CE,168.55,168.2,-0.35,-0.21,0,stop_loss,1650,2400
2025-11-19,14:05:51,2025-11-19,14:05:53,26000.0,CE,172.25,172.2,-0.05,-0.03,0,stop_loss,1875,21075
2025-11-19,14:08:36,2025-11-19,14:08:37,26000.0,CE,171.15,171.1,-0.05,-0.03,0,stop_loss,2250,6450
2025-11-19,14:09:53,2025-11-19,14:09:55,26000.0,CE,170.9,170.5,-0.40,-0.23,0,stop_loss,1875,3750
2025-11-19,14:11:58,2025-11-19,14:11:59,26000.0,CE,173.0,172.6,-0.40,-0.23,0,stop_loss,4350,16575
2025-11-19,14:12:24,2025-11-19,14:13:24,26000.0,CE,174.3,174.0,-0.30,-0.17,1,stop_loss,2400,4350
2025-11-19,14:14:49,2025-11-19,14:14:50,26050.0,CE,148.65,148.2,-0.45,-0.30,0,stop_loss,1575,8700
2025-11-19,14:19:07,2025-11-19,14:19:09,26050.0,CE,158.7,158.6,-0.10,-0.06,0,stop_loss,1800,12150
2025-11-19,14:21:12,2025-11-19,14:21:13,26050.0,CE,153.9,153.7,-0.20,-0.13,0,stop_loss,1650,4200
2025-11-19,14:22:04,2025-11-19,14:22:05,26050.0,CE,153.75,153.45,-0.30,-0.20,0,stop_loss,1200,2100
2025-11-19,14:28:45,2025-11-19,14:28:46,26050.0,CE,156.0,155.95,-0.05,-0.03,0,stop_loss,1500,13650
2025-11-19,14:29:35,2025-11-19,14:29:36,26050.0,CE,155.5,155.15,-0.35,-0.23,0,stop_loss,1800,2925
2025-11-20,10:03:25,2025-11-20,10:03:26,26100.0,CE,132.1,131.7,-0.40,-0.30,0,stop_loss,1950,3675
2025-11-20,10:04:20,2025-11-20,10:04:21,26100.0,CE,131.6,131.45,-0.15,-0.11,0,stop_loss,2325,3450
2025-11-20,10:07:31,2025-11-20,10:07:32,26100.0,CE,140.8,140.75,-0.05,-0.04,0,stop_loss,45750,66900
2025-11-20,10:07:34,2025-11-20,10:08:15,26100.0,CE,140.8,140.4,-0.40,-0.28,0,stop_loss,28950,45750
2025-11-20,10:09:20,2025-11-20,10:09:21,26100.0,CE,141.0,140.8,-0.20,-0.14,0,stop_loss,7200,28950
2025-11-20,10:09:52,2025-11-20,10:10:10,26100.0,CE,140.5,140.3,-0.20,-0.14,0,stop_loss,1500,7200
2025-11-20,10:11:40,2025-11-20,10:11:41,26100.0,CE,139.25,138.5,-0.75,-0.54,0,stop_loss,2625,3900
2025-11-20,10:13:26,2025-11-20,10:13:37,26100.0,CE,141.3,141.25,-0.05,-0.04,0,stop_loss,2175,7425
2025-11-20,10:18:36,2025-11-20,10:21:32,26100.0,CE,143.4,143.35,-0.05,-0.03,2,stop_loss,2325,40050
2025-11-20,10:21:41,2025-11-20,10:21:42,26100.0,CE,145.25,144.45,-0.80,-0.55,0,stop_loss,2100,16275
2025-11-20,10:22:55,2025-11-20,10:22:57,26100.0,CE,144.7,144.65,-0.05,-0.03,0,stop_loss,900,2625
2025-11-20,10:24:00,2025-11-20,10:24:01,26100.0,CE,143.2,142.85,-0.35,-0.24,0,stop_loss,1650,2400
2025-11-20,10:28:06,2025-11-20,10:28:07,26100.0,CE,144.4,144.3,-0.10,-0.07,0,stop_loss,1950,12600
2025-11-20,10:31:09,2025-11-20,10:31:10,26100.0,CE,149.4,149.3,-0.10,-0.07,0,stop_loss,1875,45000
2025-11-20,10:32:51,2025-11-20,10:32:52,26100.0,CE,148.2,148.15,-0.05,-0.03,0,stop_loss,2250,8925
2025-11-20,10:36:02,2025-11-20,10:36:04,26100.0,CE,149.25,148.75,-0.50,-0.34,0,stop_loss,1800,6975
2025-11-20,10:38:46,2025-11-20,10:38:47,26100.0,CE,149.6,149.0,-0.60,-0.40,0,stop_loss,3450,63600
2025-11-20,10:39:23,2025-11-20,10:39:25,26100.0,CE,148.25,147.8,-0.45,-0.30,0,stop_loss,2025,3450
2025-11-20,10:45:15,2025-11-20,10:45:16,26150.0,CE,126.6,126.3,-0.30,-0.24,0,stop_loss,2100,14625
2025-11-20,10:47:00,2025-11-20,10:47:01,26150.0,CE,126.95,126.7,-0.25,-0.20,0,stop_loss,1575,7500
2025-11-20,10:47:06,2025-11-20,10:47:07,26150.0,CE,126.65,126.5,-0.15,-0.12,0,stop_loss,1500,2475
2025-11-20,10:49:08,2025-11-20,10:49:09,26150.0,CE,131.0,130.8,-0.20,-0.15,0,stop_loss,2100,62625
2025-11-20,10:51:41,2025-11-20,10:51:42,26150.0,CE,132.6,132.1,-0.50,-0.38,0,stop_loss,3000,9300
2025-11-20,10:52:11,2025-11-20,10:52:12,26150.0,CE,133.1,132.85,-0.25,-0.19,0,stop_loss,1500,3000
2025-11-20,10:53:37,2025-11-20,10:53:38,26150.0,CE,134.1,134.0,-0.10,-0.07,0,stop_loss,2100,3075
2025-11-20,10:54:19,2025-11-20,10:54:21,26150.0,CE,132.9,132.6,-0.30,-0.23,0,stop_loss,2775,6675
2025-11-20,10:57:44,2025-11-20,10:57:45,26150.0,CE,128.3,127.8,-0.50,-0.39,0,stop_loss,2775,6075
2025-11-20,11:02:04,2025-11-20,11:02:05,26150.0,CE,123.55,123.45,-0.10,-0.08,0,stop_loss,2700,6525
2025-11-20,11:03:44,2025-11-20,11:03:45,26150.0,CE,124.1,123.8,-0.30,-0.24,0,stop_loss,1875,9075
2025-11-20,11:05:09,2025-11-20,11:05:10,26150.0,CE,127.25,127.05,-0.20,-0.16,0,stop_loss,2325,12000
2025-11-20,11:06:26,2025-11-20,11:06:32,26150.0,CE,127.05,127.0,-0.05,-0.04,0,stop_loss,2625,4125
2025-11-20,11:06:58,2025-11-20,11:07:07,26150.0,CE,126.0,125.55,-0.45,-0.36,0,stop_loss,1425,2625
2025-11-20,11:09:18,2025-11-20,11:09:19,26150.0,CE,127.6,127.55,-0.05,-0.04,0,stop_loss,1500,8025
2025-11-20,11:10:10,2025-11-20,11:10:11,26150.0,CE,127.5,127.3,-0.20,-0.16,0,stop_loss,2550,3750
2025-11-20,11:11:39,2025-11-20,11:11:40,26150.0,CE,128.75,128.5,-0.25,-0.19,0,stop_loss,1200,4200
2025-11-20,11:12:12,2025-11-20,11:12:13,26150.0,CE,128.0,127.95,-0.05,-0.04,0,stop_loss,3450,6600
2025-11-20,11:13:10,2025-11-20,11:13:11,26150.0,CE,128.2,128.0,-0.20,-0.16,0,stop_loss,2925,12750
2025-11-20,11:14:04,2025-11-20,11:14:05,26150.0,CE,129.3,129.0,-0.30,-0.23,0,stop_loss,5100,19650
2025-11-20,11:14:24,2025-11-20,11:14:25,26150.0,CE,129.35,129.2,-0.15,-0.12,0,stop_loss,2550,5100
2025-11-20,11:19:24,2025-11-20,11:19:25,26150.0,CE,120.25,119.8,-0.45,-0.37,0,stop_loss,4050,6675
2025-11-20,11:20:08,2025-11-20,11:20:13,26150.0,CE,120.0,119.65,-0.35,-0.29,0,stop_loss,2700,4050
2025-11-20,11:23:46,2025-11-20,11:23:48,26150.0,CE,123.45,123.25,-0.20,-0.16,0,stop_loss,2100,10500
2025-11-20,11:24:22,2025-11-20,11:24:25,26150.0,CE,123.8,123.65,-0.15,-0.12,0,stop_loss,3150,69000
2025-11-20,11:26:57,2025-11-20,11:26:58,26150.0,CE,125.3,124.4,-0.90,-0.72,0,stop_loss,3075,9075
2025-11-20,11:27:17,2025-11-20,11:27:19,26150.0,CE,126.3,126.25,-0.05,-0.04,0,stop_loss,1875,3075
2025-11-20,11:28:49,2025-11-20,11:28:50,26150.0,CE,124.5,124.35,-0.15,-0.12,0,stop_loss,2925,4350
2025-11-20,11:29:32,2025-11-20,11:30:37,26150.0,CE,124.0,123.65,-0.35,-0.28,1,stop_loss,2850,8850
2025-11-20,11:31:09,2025-11-20,11:31:10,26150.0,CE,123.4,123.0,-0.40,-0.32,0,stop_loss,1950,3000
2025-11-20,11:32:30,2025-11-20,11:34:28,26150.0,CE,124.95,131.6,6.65,5.32,1,profit_target,1725,8100
2025-11-20,11:36:28,2025-11-20,11:36:31,26150.0,CE,128.45,128.25,-0.20,-0.16,0,stop_loss,2175,27150
2025-11-20,11:38:23,2025-11-20,11:41:24,26150.0,CE,127.75,128.75,1.00,0.78,3,time_stop,2025,11100
2025-11-20,11:41:42,2025-11-20,11:41:43,26150.0,CE,127.9,127.65,-0.25,-0.20,0,stop_loss,1875,4875
2025-11-20,11:42:23,2025-11-20,11:42:24,26150.0,CE,128.05,127.5,-0.55,-0.43,0,stop_loss,2400,4950
2025-11-20,11:43:33,2025-11-20,11:46:16,26150.0,CE,129.0,128.85,-0.15,-0.12,2,stop_loss,2625,5025
