entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,ema5_at_entry,ema21_at_entry
2025-09-29,13:54:51,2025-09-29,13:54:52,24700.0,CE,77.95,77.8,-0.15,-0.19,0,trend_broken,77.98,77.85
2025-09-29,13:55:08,2025-09-29,13:55:10,24700.0,CE,78.55,78.35,-0.20,-0.25,0,trend_broken,78.70,78.42
2025-09-29,13:55:56,2025-09-29,14:00:57,24700.0,CE,78.15,92.2,14.05,17.98,5,time_stop,77.88,76.41
2025-09-29,14:02:45,2025-09-29,14:02:46,24750.0,CE,67.0,66.7,-0.30,-0.45,0,trend_broken,66.97,66.78
2025-09-29,14:05:06,2025-09-29,14:05:26,24750.0,CE,65.35,64.25,-1.10,-1.68,0,trend_broken,65.40,64.94
2025-09-29,14:08:15,2025-09-29,14:08:19,24750.0,CE,64.25,63.95,-0.30,-0.47,0,trend_broken,64.36,63.99
2025-09-29,14:09:32,2025-09-29,14:09:40,24750.0,CE,63.85,62.95,-0.90,-1.41,0,trend_broken,63.94,63.44
2025-09-29,14:16:05,2025-09-29,14:21:06,24700.0,CE,87.55,104.45,16.90,19.30,5,time_stop,87.58,78.78
2025-09-29,14:21:11,2025-09-29,14:21:14,24750.0,CE,70.8,69.95,-0.85,-1.20,0,trend_broken,70.75,70.28
2025-09-29,14:22:09,2025-09-29,14:22:14,24750.0,CE,71.2,70.2,-1.00,-1.40,0,trend_broken,71.24,70.20
2025-09-29,14:22:15,2025-09-29,14:22:20,24750.0,CE,70.35,70.35,0.00,0.00,0,trend_broken,70.88,70.56
2025-09-29,14:26:19,2025-09-29,14:26:50,24700.0,CE,89.4,87.6,-1.80,-2.01,0,trend_broken,89.77,88.09
2025-09-29,14:28:04,2025-09-29,14:28:05,24750.0,CE,61.75,61.45,-0.30,-0.49,0,trend_broken,61.89,61.59
