/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:74: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:90: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-03-17.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-04-28.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-06-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-07-28.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-09-08.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-10-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-12-01.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-01-12.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-02-23.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-04-06.parquet
No trades.
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-06-22.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-08-10.parquet
No trades.
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-10-04.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-11-08.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-12-13.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-01-17.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-02-21.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-03-27.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-05-08.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-06-19.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-07-31.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-09-18.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-10-30.parquet
No trades.
No trades.
No trades.
No trades.
No trades.
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-05-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-06-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-08-01.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-09-19.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-10-31.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-12-12.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-01-23.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-03-05.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-04-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-05-28.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-07-09.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-08-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-09-24.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-10-29.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-12-10.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-01-21.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-03-04.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-04-22.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-05-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-07-08.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-08-18.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-09-23.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-11-03.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-12-09.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-01-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-03-03.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-04-13.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-05-19.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-06-30.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-08-04.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-09-29.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-11-10.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-12-22.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-02-02.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-03-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-04-27.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-06-08.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-07-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-08-31.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-10-18.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-11-22.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-12-27.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-01-25.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-02-28.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-04-03.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-05-15.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-06-26.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-08-07.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-09-11.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2024-10-23.parquet
No trades.
No trades.
No trades.
No trades.
No trades.
No trades.
