symbol,hint,rows,nonnull_ts,nonnull_ratio,tmin,tmax,reasons,file
BANKNIFTY,banknifty19jun,58547,58547,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:44.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31700ce.parquet
BANKNIFTY,banknifty19jun,58551,58551,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31700pe.parquet
BANKNIFTY,banknifty19jun,54252,54252,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:50.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31800ce.parquet
BANKNIFTY,banknifty19jun,59530,59530,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31800pe.parquet
BANKNIFTY,banknifty19jun,53312,53312,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:28:35.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31900ce.parquet
BANKNIFTY,banknifty19jun,57019,57019,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31900pe.parquet
BANKNIFTY,banknifty19jun,52510,52510,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:42.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun32000ce.parquet
BANKNIFTY,banknifty19jun,56456,56456,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun32000pe.parquet
BANKNIFTY,banknifty19n213100,86071,86071,1.0,1970-01-01T05:30:00.000000+0530,2019-11-20T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19n2131000ce.parquet
BANKNIFTY,banknifty19n213160,81934,81934,1.0,1970-01-01T05:30:00.000000+0530,2019-11-20T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19n2131600pe.parquet
BANKNIFTY,banknifty19o032750,20859,20859,1.0,1970-01-01T05:30:00.000000+0530,2019-10-03T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19o0327500ce.parquet
BANKNIFTY,banknifty19o032880,83099,83099,1.0,1970-01-01T05:30:00.000000+0530,2019-10-03T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19o0328800ce.parquet
BANKNIFTY,banknifty19o243000,64420,64420,1.0,1970-01-01T05:30:00.000000+0530,2019-10-24T15:29:57.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19o2430000ce.parquet
BANKNIFTY,banknifty19oct,8327,8327,1.0,1970-01-01T05:30:00.000000+0530,2019-10-31T15:29:55.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19oct31400ce.parquet
BANKNIFTY,banknifty19sep,7928,7928,1.0,1970-01-01T05:30:00.000000+0530,2019-09-20T11:37:57.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19sep27400ce.parquet
BANKNIFTY,banknifty19sep,56340,56340,1.0,1970-01-01T05:30:00.000000+0530,2019-09-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19sep28900ce.parquet
BANKNIFTY,banknifty19sep,38292,38292,1.0,1970-01-01T05:30:00.000000+0530,2019-09-25T15:29:55.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19sep31600ce.parquet
BANKNIFTY,banknifty201233130,64063,64063,1.0,1970-01-01T05:30:00.000000+0530,2020-01-21T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2012331300pe.parquet
BANKNIFTY,banknifty203052720,11559,11559,1.0,1970-01-01T05:30:00.000000+0530,2020-03-05T15:29:55.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2030527200pe.parquet
BANKNIFTY,banknifty203052740,18217,18217,1.0,1970-01-01T05:30:00.000000+0530,2020-03-05T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2030527400ce.parquet
BANKNIFTY,banknifty203053100,21501,21501,1.0,1970-01-01T05:30:00.000000+0530,2020-02-28T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2030531000pe.parquet
BANKNIFTY,banknifty203191690,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031916900ce.parquet
BANKNIFTY,banknifty203191690,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031916900pe.parquet
BANKNIFTY,banknifty203191700,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917000ce.parquet
BANKNIFTY,banknifty203191700,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917000pe.parquet
BANKNIFTY,banknifty203191710,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917100ce.parquet
BANKNIFTY,banknifty203191710,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917100pe.parquet
BANKNIFTY,banknifty203191720,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917200ce.parquet
BANKNIFTY,banknifty203191720,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917200pe.parquet
BANKNIFTY,banknifty203191730,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917300ce.parquet
BANKNIFTY,banknifty203191730,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917300pe.parquet
BANKNIFTY,banknifty203191740,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917400ce.parquet
BANKNIFTY,banknifty203191740,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917400pe.parquet
BANKNIFTY,banknifty203191750,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917500ce.parquet
BANKNIFTY,banknifty203191750,0,0,0.0,,,"zero_rows,low_timestamp_coverage(<50%)",data/raw/options/banknifty2031917500pe.parquet
BANKNIFTY,banknifty203191890,17463,17463,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:43.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031918900ce.parquet
BANKNIFTY,banknifty203191920,33447,33447,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919200ce.parquet
BANKNIFTY,banknifty203191920,35464,35464,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919200pe.parquet
BANKNIFTY,banknifty203191930,31440,31440,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919300ce.parquet
BANKNIFTY,banknifty203191930,36209,36209,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919300pe.parquet
BANKNIFTY,banknifty203191940,31142,31142,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919400ce.parquet
BANKNIFTY,banknifty203191940,36850,36850,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919400pe.parquet
BANKNIFTY,banknifty203191950,36907,36907,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919500ce.parquet
BANKNIFTY,banknifty203191950,38298,38298,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919500pe.parquet
BANKNIFTY,banknifty203191960,30812,30812,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919600ce.parquet
BANKNIFTY,banknifty203191960,36251,36251,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919600pe.parquet
BANKNIFTY,banknifty203191970,34630,34630,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919700ce.parquet
BANKNIFTY,banknifty203191970,39810,39810,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919700pe.parquet
BANKNIFTY,banknifty203191980,36173,36173,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919800ce.parquet
BANKNIFTY,banknifty203191980,40760,40760,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919800pe.parquet
BANKNIFTY,banknifty203191990,36999,36999,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919900ce.parquet
BANKNIFTY,banknifty203191990,41498,41498,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031919900pe.parquet
BANKNIFTY,banknifty203192000,41731,41731,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920000ce.parquet
BANKNIFTY,banknifty203192000,42879,42879,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920000pe.parquet
BANKNIFTY,banknifty203192010,41735,41735,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920100ce.parquet
BANKNIFTY,banknifty203192010,43754,43754,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920100pe.parquet
BANKNIFTY,banknifty203192020,42063,42063,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920200ce.parquet
BANKNIFTY,banknifty203192020,44534,44534,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920200pe.parquet
BANKNIFTY,banknifty203192030,38688,38688,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920300ce.parquet
BANKNIFTY,banknifty203192030,44953,44953,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920300pe.parquet
BANKNIFTY,banknifty203192040,39150,39150,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920400ce.parquet
BANKNIFTY,banknifty203192040,44866,44866,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920400pe.parquet
BANKNIFTY,banknifty203192050,45304,45304,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920500ce.parquet
BANKNIFTY,banknifty203192050,46149,46149,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920500pe.parquet
BANKNIFTY,banknifty203192060,41287,41287,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920600ce.parquet
BANKNIFTY,banknifty203192060,45771,45771,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:55.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920600pe.parquet
BANKNIFTY,banknifty203192070,42729,42729,1.0,1970-01-01T05:30:00.000000+0530,2020-03-19T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty2031920700ce.parquet
