entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-09-15,13:00:00,2025-09-15,15:24:59,54900.0,54900.0,585.0,345.0,561.0,350.7,930.0,911.7,18.299999999999955,144,time_limit
2025-09-16,13:00:00,2025-09-16,15:24:59,55100.0,55100.0,558.4,345.4,565.0,319.5,903.8,884.5,19.299999999999955,144,time_limit
2025-09-17,13:00:00,2025-09-17,15:24:59,55400.0,55400.0,509.8,310.0,572.6,292.0,819.8,864.6,-44.80000000000007,144,time_limit
2025-09-18,13:00:00,2025-09-18,15:24:58,55700.0,55700.0,440.15,318.65,461.9,278.55,758.8,740.45,18.34999999999991,144,time_limit
2025-09-19,13:00:00,2025-09-19,15:24:58,55400.0,55400.0,482.6,271.3,483.25,239.4,753.9000000000001,722.65,31.250000000000114,144,time_limit
2025-09-22,13:00:00,2025-09-22,15:24:58,55600.0,55600.0,418.0,249.0,272.3,392.65,667.0,664.95,2.0499999999999545,144,time_limit
2025-09-23,13:00:00,2025-09-23,15:24:59,55500.0,55500.0,408.85,250.0,434.55,214.4,658.85,648.95,9.899999999999977,144,time_limit
2025-09-24,13:00:00,2025-09-24,15:24:59,55200.0,55200.0,338.9,213.5,309.1,235.95,552.4,545.05,7.350000000000023,144,time_limit
2025-09-25,13:00:00,2025-09-25,15:24:59,55200.0,55200.0,303.0,205.7,211.45,281.3,508.7,492.75,15.949999999999989,144,time_limit
2025-09-26,13:00:00,2025-09-26,15:24:59,54600.0,54600.0,262.5,179.4,161.65,302.55,441.9,464.20000000000005,-22.300000000000068,144,time_limit
2025-09-29,13:00:00,2025-09-29,15:24:59,54300.0,54300.0,201.85,150.7,350.4,49.35,352.54999999999995,399.75,-47.200000000000045,144,time_limit
2025-09-30,13:00:00,2025-09-30,15:24:59,54700.0,54700.0,89.8,96.3,0.1,63.85,186.1,63.95,122.14999999999999,144,time_limit
2025-10-01,13:00:00,2025-10-01,15:24:59,55200.0,55200.0,812.75,531.6,920.0,434.45,1344.35,1354.45,-10.100000000000136,144,time_limit
2025-10-03,13:00:00,2025-10-03,15:24:59,55500.0,55500.0,778.95,485.95,799.95,447.05,1264.9,1247.0,17.90000000000009,144,time_limit
2025-10-06,13:00:00,2025-10-06,15:24:59,56100.0,56100.0,697.45,481.55,669.45,475.7,1179.0,1145.15,33.84999999999991,144,time_limit
2025-10-07,13:00:00,2025-10-07,15:24:59,56400.0,56400.0,641.15,477.3,568.65,516.55,1118.45,1085.1999999999998,33.25000000000023,144,time_limit
2025-10-08,13:00:00,2025-10-08,15:24:59,56100.0,56100.0,661.75,445.5,598.95,491.55,1107.25,1090.5,16.75,144,time_limit
2025-10-09,13:00:00,2025-10-09,15:24:59,56100.0,56100.0,658.0,430.45,705.0,390.0,1088.45,1095.0,-6.5499999999999545,144,time_limit
2025-10-10,13:00:00,2025-10-10,15:24:59,56700.0,56700.0,665.15,405.0,595.0,415.85,1070.15,1010.85,59.30000000000007,144,time_limit
2025-10-13,13:00:00,2025-10-13,15:24:59,56600.0,56600.0,649.55,416.0,652.0,398.35,1065.55,1050.35,15.200000000000045,144,time_limit
2025-10-14,13:00:00,2025-10-14,15:24:59,56300.0,56300.0,657.3,423.0,741.85,343.2,1080.3,1085.05,-4.75,144,time_limit
